,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides C1,Peptides C2,Peptides C3,Peptides E1_24,Peptides E1_48,Peptides E2_24,Peptides E2_48,Peptides E3_24,Peptides E3_48,Razor + unique peptides C1,Razor + unique peptides C2,Razor + unique peptides C3,Razor + unique peptides E1_24,Razor + unique peptides E1_48,Razor + unique peptides E2_24,Razor + unique peptides E2_48,Razor + unique peptides E3_24,Razor + unique peptides E3_48,Unique peptides C1,Unique peptides C2,Unique peptides C3,Unique peptides E1_24,Unique peptides E1_48,Unique peptides E2_24,Unique peptides E2_48,Unique peptides E3_24,Unique peptides E3_48,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Sequence coverage C1 [%],Sequence coverage C2 [%],Sequence coverage C3 [%],Sequence coverage E1_24 [%],Sequence coverage E1_48 [%],Sequence coverage E2_24 [%],Sequence coverage E2_48 [%],Sequence coverage E3_24 [%],Sequence coverage E3_48 [%],Intensity,Intensity C1,Intensity C2,Intensity C3,Intensity E1_24,Intensity E1_48,Intensity E2_24,Intensity E2_48,Intensity E3_24,Intensity E3_48,iBAQ peptides,iBAQ,iBAQ C1,iBAQ C2,iBAQ C3,iBAQ E1_24,iBAQ E1_48,iBAQ E2_24,iBAQ E2_48,iBAQ E3_24,iBAQ E3_48,LFQ intensity C1,LFQ intensity C2,LFQ intensity C3,LFQ intensity E1_24,LFQ intensity E1_48,LFQ intensity E2_24,LFQ intensity E2_48,LFQ intensity E3_24,LFQ intensity E3_48,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count E1_24,MS/MS count E1_48,MS/MS count E2_24,MS/MS count E2_48,MS/MS count E3_24,MS/MS count E3_48,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (NQ) site IDs,Dioxidation (MW) site IDs,Oxidation (M) site IDs,Deamidation (NQ) site positions,Dioxidation (MW) site positions,Oxidation (M) site positions,Taxonomy IDs,unique_int,Gene_id,desc,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,mean,exp_rank
338,sp|P18572|BASI_MOUSE;tr|K3W4Q8|K3W4Q8_MOUSE;tr|J3QP71|J3QP71_MOUSE,sp|P18572|BASI_MOUSE;tr|K3W4Q8|K3W4Q8_MOUSE;tr|J3QP71|J3QP71_MOUSE,5;5;4,5;5;4,5;5;4,sp|P18572|BASI_MOUSE Basigin OS=Mus musculus OX=10090 GN=Bsg PE=1 SV=2;tr|K3W4Q8|K3W4Q8_MOUSE Basigin OS=Mus musculus OX=10090 GN=Bsg PE=1 SV=1;tr|J3QP71|J3QP71_MOUSE Basigin (Fragment) OS=Mus musculus OX=10090 GN=Bsg PE=1 SV=1,3,5,5,5,0,0,0,2,3,4,5,1,1,0,0,0,2,3,4,5,1,1,0,0,0,2,3,4,5,1,1,14.9,14.9,14.9,42.443999999999996,389,389;218;197,0.0,12.413,0.0,0.0,0.0,5.9,8.0,12.9,14.9,2.6,2.6,236730000,0,0,0,14568000,42145000,72200000,98037000,4560500,5223200,19,12460000.0,0.0,0.0,0.0,766750.0,2218100.0,3800000.0,5159900.0,240020.0,274900.0,0,0,0,18457000,34261000,26522000,32865000,0,0,0,0,0,2,4,4,6,1,1,18,,,,338,10643;11076;13786;14735;15015,True;True;True;True;True,11908;12385;15341;16369;16667,59979;59980;62087;62088;62089;62090;62091;62092;77439;77440;77441;77442;77443;77444;82892;82893;84299;84300,67345;67346;69655;69656;69657;69658;69659;69660;86630;86631;86632;86633;86634;86635;93201;93202;94738;94739,67345;69659;86633;93201;94739,,,,,,,-1;-1;-1,5,sp|P18572|BASI_MOUSE,Basigin,766750.0,3800000.0,240020.0,2218100.0,5159900.0,274900.0,2076611.6666666667,11.0
2187,tr|F7DBB3|F7DBB3_MOUSE;tr|Q3URZ6|Q3URZ6_MOUSE,tr|F7DBB3|F7DBB3_MOUSE,10;2,10;2,2;2,tr|F7DBB3|F7DBB3_MOUSE AHNAK nucleoprotein 2 (Fragment) OS=Mus musculus OX=10090 GN=Ahnak2 PE=1 SV=1,2,10,10,2,0,0,0,8,8,8,5,6,3,0,0,0,8,8,8,5,6,3,0,0,0,2,1,0,0,0,0,24.8,24.8,2.5,166.49,1576,1576;770,0.0,52.031000000000006,0.0,0.0,0.0,21.7,23.2,22.3,17.0,16.6,11.2,885250000,0,0,0,221660000,303220000,192270000,86202000,70054000,11842000,80,11066000.0,0.0,0.0,0.0,2770700.0,3790300.0,2403400.0,1077500.0,875670.0,148030.0,0,0,0,179910000,202440000,91874000,67815000,51481000,12409000,0,0,0,12,15,11,6,7,3,54,,,,2187,3833;7075;7922;8981;12331;12710;13241;13275;13277;14029,True;True;True;True;True;True;True;True;True;True,4132;7677;8585;9826;9827;13756;14171;14740;14781;14783;15607;15608,20084;20085;20086;20087;20088;20089;39009;39010;39011;39012;39013;39014;39015;39016;39017;43542;43543;43544;43545;43546;43547;43548;43549;43550;49912;49913;49914;49915;49916;49917;49918;49919;69157;71375;71376;74195;74196;74197;74435;74436;74437;74438;74439;74441;74442;78615;78616;78617;78618;78619,22222;22223;22224;22225;22226;22227;22228;43264;43265;43266;43267;43268;43269;43270;43271;43272;48411;48412;48413;48414;48415;48416;48417;48418;48419;48420;55509;55510;55511;55512;55513;55514;55515;55516;55517;77407;80042;80043;80044;83091;83092;83093;83360;83361;83362;83363;83364;83366;83367;87851;87852;87853;87854;87855,22227;43270;48418;55516;77407;80044;83093;83361;83366;87852,,,786,,,132,-1;-1,2,tr|F7DBB3|F7DBB3_MOUSE,none,2770700.0,2403400.0,875670.0,3790300.0,1077500.0,148030.0,1844266.6666666667,12.0
1164,sp|Q811D0|DLG1_MOUSE;tr|H7BWY4|H7BWY4_MOUSE;tr|E9Q9H0|E9Q9H0_MOUSE;tr|D3Z3B8|D3Z3B8_MOUSE;tr|S4R2T8|S4R2T8_MOUSE;tr|F6UDT8|F6UDT8_MOUSE;tr|A0A338P6J0|A0A338P6J0_MOUSE;tr|A0A571BEZ4|A0A571BEZ4_MOUSE;tr|A0A571BEK3|A0A571BEK3_MOUSE;tr|E9Q2L2|E9Q2L2_MOUSE;sp|Q91XM9|DLG2_MOUSE;tr|D3YUZ8|D3YUZ8_MOUSE;tr|A0A338P6I6|A0A338P6I6_MOUSE;tr|A0A338P7H1|A0A338P7H1_MOUSE;tr|A0A338P713|A0A338P713_MOUSE;tr|G3UZL5|G3UZL5_MOUSE;tr|A0A338P6E5|A0A338P6E5_MOUSE;tr|D3YWU0|D3YWU0_MOUSE;tr|A0A338P6H5|A0A338P6H5_MOUSE;tr|A0A338P6L4|A0A338P6L4_MOUSE;tr|B1AR31|B1AR31_MOUSE;tr|E9Q3Z8|E9Q3Z8_MOUSE;sp|Q62108|DLG4_MOUSE,sp|Q811D0|DLG1_MOUSE;tr|H7BWY4|H7BWY4_MOUSE;tr|E9Q9H0|E9Q9H0_MOUSE;tr|D3Z3B8|D3Z3B8_MOUSE,19;19;18;16;7;6;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,19;19;18;16;7;6;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,19;19;18;16;7;6;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,sp|Q811D0|DLG1_MOUSE Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1 PE=1 SV=1;tr|H7BWY4|H7BWY4_MOUSE Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1 PE=1 SV=1;tr|E9Q9H0|E9Q9H0_MOUSE Disks large homolog 1 OS=Mus musculus OX=10090 GN=Dlg1 PE=1,23,19,19,19,0,0,0,15,11,13,16,9,6,0,0,0,15,11,13,16,9,6,0,0,0,15,11,13,16,9,6,35.7,35.7,35.7,100.12,905,905;872;912;834;558;358;994;919;901;870;852;755;764;198;205;668;664;481;273;254;242;238;724,0.0,88.09899999999999,0.0,0.0,0.0,28.4,22.7,24.9,31.4,15.2,11.4,399300000,0,0,0,34215000,55491000,115920000,155320000,26360000,11990000,37,10792000.0,0.0,0.0,0.0,924730.0,1499800.0,3133100.0,4197900.0,712450.0,324060.0,0,0,0,32301000,42353000,47421000,51240000,18959000,11319000,0,0,0,13,12,13,18,9,5,70,,,,1164,640;1860;2027;2751;3144;3216;4145;4267;4368;5487;5489;7112;8086;9635;10056;10466;11579;13864;14880,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,691;2011;2188;2957;3382;3461;3462;4456;4590;4702;5923;5925;7716;8764;10624;11154;11703;11704;12933;15427;16520,3401;3402;3403;3404;3405;10002;10003;10004;10005;10006;10776;10777;10778;14229;16378;16379;16380;16381;16382;16383;16765;16766;16767;16768;16769;16770;16771;21847;21848;21849;21850;22476;22477;23049;23050;23051;23052;23053;29599;29600;29601;29602;29606;29607;29608;29609;29610;29611;39158;39159;39160;39161;44373;54358;54359;54360;54361;54362;56774;56775;56776;56777;56778;59082;59083;59084;59085;64734;77777;83593;83594;83595;83596,3901;3902;3903;3904;3905;11085;11086;11087;11088;11089;11907;11908;11909;15638;18116;18117;18118;18119;18120;18121;18513;18514;18515;18516;18517;18518;18519;24093;24094;24095;24096;24097;24098;24777;24778;24779;24780;25375;25376;25377;25378;25379;25380;32751;32752;32753;32754;32759;32760;32761;32762;32763;32764;43419;43420;43421;43422;43423;49321;61295;61296;61297;61298;61299;63879;63880;63881;63882;63883;66370;66371;66372;66373;72514;86982;93948;93949;93950;93951;93952;93953,3901;11088;11907;15638;18119;18517;24094;24779;25376;32752;32759;43419;49321;61299;63882;66372;72514;86982;93952,442,,,787,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,19,sp|Q811D0|DLG1_MOUSE,Disks large homolog 1,924730.0,3133100.0,712450.0,1499800.0,4197900.0,324060.0,1798673.3333333333,13.0
1968,tr|D3YVM2|D3YVM2_MOUSE;sp|Q9QY73|TMM59_MOUSE,tr|D3YVM2|D3YVM2_MOUSE;sp|Q9QY73|TMM59_MOUSE,3;3,3;3,3;3,tr|D3YVM2|D3YVM2_MOUSE Transmembrane protein 59 OS=Mus musculus OX=10090 GN=Tmem59 PE=1 SV=1;sp|Q9QY73|TMM59_MOUSE Transmembrane protein 59 OS=Mus musculus OX=10090 GN=Tmem59 PE=1 SV=2,2,3,3,3,0,0,0,2,3,3,2,2,0,0,0,0,2,3,3,2,2,0,0,0,0,2,3,3,2,2,0,12.9,12.9,12.9,28.592,256,256;323,0.0,18.477999999999998,0.0,0.0,0.0,9.0,12.9,12.9,9.0,9.0,0.0,102090000,0,0,0,10294000,29708000,33028000,17617000,11444000,0,12,8507500.0,0.0,0.0,0.0,857850.0,2475600.0,2752300.0,1468100.0,953690.0,0.0,0,0,0,12548000,20029000,10546000,0,8920800,0,0,0,0,2,3,4,3,2,0,14,,,,1968,11804;13893;14860,True;True;True,13182;15456;16498,65920;65921;65922;65923;65924;65925;65926;77926;77927;77928;77929;77930;83478;83479,73752;73753;73754;73755;73756;73757;73758;87131;87132;87133;87134;87135;93828;93829,73754;87134;93828,,,,,,,-1;-1,3,tr|D3YVM2|D3YVM2_MOUSE,tr|D3YVM2|D3YVM2_MOUSE Transmembrane protein 59,857850.0,2752300.0,953690.0,2475600.0,1468100.0,0.0,1701508.0,14.0
861,sp|Q5Y5T1|ZDH20_MOUSE,sp|Q5Y5T1|ZDH20_MOUSE,6,6,6,sp|Q5Y5T1|ZDH20_MOUSE Palmitoyltransferase ZDHHC20 OS=Mus musculus OX=10090 GN=Zdhhc20 PE=1 SV=1,1,6,6,6,0,0,0,6,5,4,5,2,1,0,0,0,6,5,4,5,2,1,0,0,0,6,5,4,5,2,1,21.1,21.1,21.1,43.975,380,380,0.0,63.817,0.0,0.0,0.0,21.1,18.7,15.8,18.2,7.4,5.0,159600000,0,0,0,16523000,22258000,51881000,53581000,11906000,3453100,17,9388400.0,0.0,0.0,0.0,971960.0,1309300.0,3051800.0,3151800.0,700360.0,203130.0,0,0,0,13431000,18434000,17689000,20183000,11685000,0,0,0,0,5,4,5,5,2,1,22,,,,861,1706;2282;7601;8508;11256;14623,True;True;True;True;True;True,1843;2461;8241;8242;9219;9220;12586;16249,9210;9211;11940;11941;11942;41886;41887;41888;41889;41890;46808;46809;46810;46811;46812;46813;46814;46815;46816;63033;63034;63035;63036;82269;82270;82271;82272,10219;10220;13162;13163;13164;46515;46516;46517;46518;46519;52062;52063;52064;52065;52066;52067;52068;52069;52070;70699;70700;70701;70702;92529;92530;92531;92532,10219;13163;46517;52067;70700;92530,354,,392,359,,314,-1,6,sp|Q5Y5T1|ZDH20_MOUSE,Palmitoyltransferase ZDHHC20,971960.0,3051800.0,700360.0,1309300.0,3151800.0,203130.0,1564725.0,15.0
1159,sp|Q80Z96|VANG1_MOUSE;tr|Q3UXU7|Q3UXU7_MOUSE;tr|A0A0H2UH25|A0A0H2UH25_MOUSE;tr|F7BWJ0|F7BWJ0_MOUSE;tr|E0CX72|E0CX72_MOUSE,sp|Q80Z96|VANG1_MOUSE;tr|Q3UXU7|Q3UXU7_MOUSE;tr|A0A0H2UH25|A0A0H2UH25_MOUSE;tr|F7BWJ0|F7BWJ0_MOUSE,16;15;10;9;3,16;15;10;9;3,16;15;10;9;3,sp|Q80Z96|VANG1_MOUSE Vang-like protein 1 OS=Mus musculus OX=10090 GN=Vangl1 PE=1 SV=2;tr|Q3UXU7|Q3UXU7_MOUSE Vang-like protein OS=Mus musculus OX=10090 GN=Vangl1 PE=1 SV=1;tr|A0A0H2UH25|A0A0H2UH25_MOUSE Vang-like protein 1 OS=Mus musculus OX=10090 GN=Vang,5,16,16,16,0,0,0,6,6,11,10,6,1,0,0,0,6,6,11,10,6,1,0,0,0,6,6,11,10,6,1,39.0,39.0,39.0,60.063,526,526;476;393;253;137,0.0,88.105,0.0,0.0,0.0,16.2,16.0,31.4,25.3,17.3,2.1,244430000,0,0,0,14069000,20227000,116310000,73757000,19241000,824040,28,8729800.0,0.0,0.0,0.0,502480.0,722410.0,4154100.0,2634200.0,687180.0,29430.0,0,0,0,14806000,26562000,35573000,22813000,14525000,0,0,0,0,5,5,12,10,5,1,38,,,,1159,72;1462;1489;1900;1901;3608;6402;7471;8730;10538;11683;12114;12403;14394;14481;14815,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,76;1586;1618;2054;2055;3892;6944;8100;8101;9477;11793;13051;13511;13836;16001;16096;16450,319;320;7905;7906;7907;7908;7909;8090;8091;8092;10143;10144;10145;10146;10147;10148;18972;18973;35195;35196;35197;35198;35199;41174;41175;41176;48188;59424;65293;67835;67836;67837;67838;67839;69509;69510;80598;81198;83234;83235;83236,357;358;8810;8811;8812;8813;8814;9028;9029;9030;11229;11230;11231;11232;11233;11234;21031;21032;39219;39220;39221;39222;39223;45747;45748;45749;53643;53644;66739;73100;75925;75926;75927;75928;75929;77798;77799;89981;90897;93555;93556;93557,357;8812;9029;11229;11234;21032;39220;45747;53644;66739;73100;75925;77798;89981;90897;93556,441,,,475,,,-1;-1;-1;-1;-1,16,sp|Q80Z96|VANG1_MOUSE,Vang-like protein 1,502480.0,4154100.0,687180.0,722410.0,2634200.0,29430.0,1454966.6666666667,16.0
575,sp|P62301|RS13_MOUSE;tr|Q921R2|Q921R2_MOUSE;tr|A0A0U1RQ71|A0A0U1RQ71_MOUSE,sp|P62301|RS13_MOUSE;tr|Q921R2|Q921R2_MOUSE,4;4;1,4;4;1,4;4;1,sp|P62301|RS13_MOUSE 40S ribosomal protein S13 OS=Mus musculus OX=10090 GN=Rps13 PE=1 SV=2;tr|Q921R2|Q921R2_MOUSE 40S ribosomal protein S13 OS=Mus musculus OX=10090 GN=Rps13 PE=1 SV=1,3,4,4,4,0,0,0,3,0,3,1,0,1,0,0,0,3,0,3,1,0,1,0,0,0,3,0,3,1,0,1,29.8,29.8,29.8,17.222,151,151;140;53,0.0,7.2398,0.0,0.0,0.0,21.2,0.0,23.2,4.6,0.0,4.6,52299000,0,0,0,11645000,0,35645000,3505600,0,1503400,9,5811000.0,0.0,0.0,0.0,1293900.0,0.0,3960500.0,389510.0,0.0,167040.0,0,0,0,11787000,0,13222000,0,0,0,0,0,0,3,0,3,1,0,1,8,,,,575,4110;4199;6337;7445,True;True;True;True,4421;4512;6870;8073,21682;21683;22104;34754;41064;41065;41066;41067,23918;23919;24386;38746;45635;45636;45637;45638,23919;24386;38746;45635,,,,,,,-1;-1;-1,4,sp|P62301|RS13_MOUSE,40S ribosomal protein S13,1293900.0,3960500.0,0.0,0.0,389510.0,167040.0,1452737.5,17.0
1040,sp|Q6P9J9|ANO6_MOUSE;tr|A0A2I3BPX3|A0A2I3BPX3_MOUSE;tr|A0A2I3BPY8|A0A2I3BPY8_MOUSE;tr|A0A2I3BRD2|A0A2I3BRD2_MOUSE,sp|Q6P9J9|ANO6_MOUSE;tr|A0A2I3BPX3|A0A2I3BPX3_MOUSE;tr|A0A2I3BPY8|A0A2I3BPY8_MOUSE,13;13;8;5,13;13;8;5,13;13;8;5,sp|Q6P9J9|ANO6_MOUSE Anoctamin-6 OS=Mus musculus OX=10090 GN=Ano6 PE=1 SV=1;tr|A0A2I3BPX3|A0A2I3BPX3_MOUSE Anoctamin OS=Mus musculus OX=10090 GN=Ano6 PE=1 SV=1;tr|A0A2I3BPY8|A0A2I3BPY8_MOUSE Anoctamin OS=Mus musculus OX=10090 GN=Ano6 PE=1 SV=1,4,13,13,13,0,0,0,9,8,12,9,5,0,0,0,0,9,8,12,9,5,0,0,0,0,9,8,12,9,5,0,16.6,16.6,16.6,106.25,911,911;932;466;193,0.0,30.085,0.0,0.0,0.0,11.4,11.2,14.5,12.7,6.9,0.0,288470000,0,0,0,35807000,45647000,111840000,71698000,23477000,0,41,7035800.0,0.0,0.0,0.0,873350.0,1113300.0,2727700.0,1748700.0,572610.0,0.0,0,0,0,30864000,34831000,43809000,27100000,18536000,0,0,0,0,10,8,12,10,6,0,46,,,,1040,1855;3567;5356;6125;7953;8938;9453;9503;12099;12714;13874;14444;14900,True;True;True;True;True;True;True;True;True;True;True;True;True,2006;3848;5781;6646;8620;9769;10404;10466;13494;14175;14176;15437;16056;16540,9987;9988;9989;9990;18675;18676;18677;18678;18679;28741;28742;28743;28744;28745;28746;28747;28748;28749;28750;33748;43709;43710;43711;43712;43713;43714;49688;49689;49690;49691;53116;53471;67746;67747;67748;71387;71388;71389;77814;77815;77816;77817;80873;80874;80875;83672;83673;83674;83675;83676,11070;11071;11072;11073;20600;20601;20602;20603;20604;31715;31716;31717;31718;31719;31720;31721;31722;31723;31724;37665;48608;48609;48610;48611;48612;48613;55274;55275;55276;55277;59887;60281;75833;75834;75835;80055;80056;80057;87019;87020;87021;87022;90285;90286;90287;94031;94032;94033;94034;94035,11070;20601;31716;37665;48608;55274;59887;60281;75835;80056;87021;90286;94032,397,,,494,,,-1;-1;-1;-1,13,sp|Q6P9J9|ANO6_MOUSE,Anoctamin-6,873350.0,2727700.0,572610.0,1113300.0,1748700.0,0.0,1407132.0,18.0
2039,sp|Q9WVA4|TAGL2_MOUSE;tr|A0A0A6YXG6|A0A0A6YXG6_MOUSE;sp|Q9R1Q8|TAGL3_MOUSE,sp|Q9WVA4|TAGL2_MOUSE;tr|A0A0A6YXG6|A0A0A6YXG6_MOUSE,10;5;1,10;5;1,10;5;1,sp|Q9WVA4|TAGL2_MOUSE Transgelin-2 OS=Mus musculus OX=10090 GN=Tagln2 PE=1 SV=4;tr|A0A0A6YXG6|A0A0A6YXG6_MOUSE Transgelin-2 (Fragment) OS=Mus musculus OX=10090 GN=Tagln2 PE=1 SV=1,3,10,10,10,1,1,0,4,5,9,7,0,2,1,1,0,4,5,9,7,0,2,1,1,0,4,5,9,7,0,2,48.7,48.7,48.7,22.395,199,199;90;199,0.0,34.413000000000004,9.5,5.5,0.0,26.1,24.1,45.2,35.2,0.0,10.6,92527000,0,0,0,5180000,9108500,46077000,31279000,0,883040,14,6609100.0,0.0,0.0,0.0,370000.0,650610.0,3291200.0,2234200.0,0.0,63075.0,0,0,0,7232800,9358100,13077000,12037000,0,0,1,1,0,4,5,9,7,0,2,29,,,,2039,1399;2204;4356;5783;7456;7457;9242;9449;9661;12617,True;True;True;True;True;True;True;True;True;True,1518;2376;4690;6259;8084;8085;10159;10399;10651;14067,7542;7543;7544;11518;11519;11520;11521;22985;22986;31723;41103;41104;41105;41106;41107;41108;41109;51820;51821;51822;51823;51824;51825;53095;54445;70797;70798;70799;70800,8414;8415;8416;12702;12703;12704;12705;25308;25309;35429;45674;45675;45676;45677;45678;45679;45680;58478;58479;58480;58481;58482;58483;59866;61384;79323;79324;79325;79326,8414;12702;25308;35429;45674;45680;58479;59866;61384;79324,,,,,,,-1;-1;-1,10,sp|Q9WVA4|TAGL2_MOUSE,Transgelin-2,370000.0,3291200.0,0.0,650610.0,2234200.0,63075.0,1321817.0,19.0
622,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE;sp|P63242|IF5A1_MOUSE;tr|J3QPS8|J3QPS8_MOUSE;sp|Q8BGY2|IF5A2_MOUSE,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE;sp|P63242|IF5A1_MOUSE;tr|J3QPS8|J3QPS8_MOUSE;sp|Q8BGY2|IF5A2_MOUSE,4;4;2;2,4;4;2;2,4;4;2;2,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1;sp|P63242|IF5A1_MOUSE Eukaryotic translation initiation factor 5A-1 OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=2;tr|J3QPS8|J3QP,4,4,4,4,0,0,0,2,0,4,1,1,1,0,0,0,2,0,4,1,1,1,0,0,0,2,0,4,1,1,1,24.2,24.2,24.2,16.302,149,149;154;76;153,0.0,7.0568,0.0,0.0,0.0,12.8,0.0,24.2,8.1,8.1,8.1,40465000,0,0,0,1910600,0,30049000,3518600,1931500,3055000,8,5058100.0,0.0,0.0,0.0,238820.0,0.0,3756200.0,439820.0,241440.0,381870.0,0,0,0,0,0,11266000,0,0,0,0,0,0,1,0,4,1,1,1,8,,,,622,2188;2189;9251;13510,True;True;True;True,2358;2359;10171;15036,11471;11472;51906;51907;75867;75868;75869;75870;75871;75872,12645;12646;58571;58572;84968;84969;84970;84971;84972;84973,12645;12646;58572;84971,,,,,,,-1;-1;-1;-1,4,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE,tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE Eukaryotic translation initiation factor 5A (Fragment),238820.0,3756200.0,241440.0,0.0,439820.0,381870.0,1011630.0,20.0
720,sp|Q03145|EPHA2_MOUSE,sp|Q03145|EPHA2_MOUSE,15,15,14,sp|Q03145|EPHA2_MOUSE Ephrin type-A receptor 2 OS=Mus musculus OX=10090 GN=Epha2 PE=1 SV=3,1,15,15,14,0,0,0,14,14,10,6,7,2,0,0,0,14,14,10,6,7,2,0,0,0,13,13,9,5,6,1,18.0,18.0,17.2,108.85,977,977,0.0,47.418,0.0,0.0,0.0,16.9,16.2,11.3,6.3,7.8,2.5,268500000,0,0,0,61456000,77588000,82868000,26199000,16563000,3826700,46,5837000.0,0.0,0.0,0.0,1336000.0,1686700.0,1801500.0,569550.0,360060.0,83189.0,0,0,0,61106000,52528000,33640000,11645000,12497000,2289600,0,0,0,14,14,11,6,8,2,55,,,,720,1828;2958;3004;5174;5223;7992;12239;12561;13075;13538;13688;14082;14326;14512;14929,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1979;3188;3235;5590;5641;8664;13656;14010;14564;15067;15238;15664;15931;15932;16130;16574,9857;9858;15415;15416;15417;15418;15419;15612;15613;15614;15615;27850;27851;27852;27853;28043;43920;43921;68626;68627;70539;70540;70541;73298;73299;73300;76044;76045;76046;76047;76947;76948;76949;76950;76951;78876;78877;78878;78879;78880;78881;80295;80296;80297;81346;81347;81348;81349;81350;83860;83861;83862;83863,10937;10938;17007;17008;17009;17010;17011;17216;17217;17218;17219;30737;30738;30739;30740;30949;48847;48848;76795;76796;79053;79054;79055;82141;82142;82143;85156;85157;85158;85159;86126;86127;86128;86129;86130;88138;88139;88140;88141;88142;88143;89656;89657;89658;91065;91066;91067;91068;91069;91070;94235;94236;94237;94238;94239;94240,10938;17007;17218;30737;30949;48848;76796;79055;82141;85157;86127;88141;89656;91069;94236,,,,,,,-1,14,sp|Q03145|EPHA2_MOUSE,Ephrin type-A receptor 2,1336000.0,1801500.0,360060.0,1686700.0,569550.0,83189.0,972833.1666666666,21.0
317,tr|Q3U8S1|Q3U8S1_MOUSE;tr|A2APM5|A2APM5_MOUSE;tr|A2APM3|A2APM3_MOUSE;tr|A2APM4|A2APM4_MOUSE;tr|E9QKM8|E9QKM8_MOUSE;tr|Q80X37|Q80X37_MOUSE;tr|A2APM1|A2APM1_MOUSE;sp|P15379|CD44_MOUSE;tr|A2APM2|A2APM2_MOUSE,tr|Q3U8S1|Q3U8S1_MOUSE;tr|A2APM5|A2APM5_MOUSE;tr|A2APM3|A2APM3_MOUSE;tr|A2APM4|A2APM4_MOUSE;tr|E9QKM8|E9QKM8_MOUSE;tr|Q80X37|Q80X37_MOUSE;tr|A2APM1|A2APM1_MOUSE;sp|P15379|CD44_MOUSE;tr|A2APM2|A2APM2_MOUSE,2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2,tr|Q3U8S1|Q3U8S1_MOUSE CD44 antigen OS=Mus musculus OX=10090 GN=Cd44 PE=1 SV=1;tr|A2APM5|A2APM5_MOUSE CD44 antigen OS=Mus musculus OX=10090 GN=Cd44 PE=1 SV=1;tr|A2APM3|A2APM3_MOUSE CD44 antigen OS=Mus musculus OX=10090 GN=Cd44 PE=1 SV=1;tr|A2APM4|A2APM4_MO,9,2,2,2,0,0,0,2,2,2,1,0,0,0,0,0,2,2,2,1,0,0,0,0,0,2,2,2,1,0,0,5.8,5.8,5.8,40.263000000000005,365,365;434;464;498;577;580;657;778;780,0.0,5.3536,0.0,0.0,0.0,5.8,5.8,5.8,2.5,0.0,0.0,47822000,0,0,0,9177900,19195000,15199000,4249300,0,0,13,3678600.0,0.0,0.0,0.0,705990.0,1476600.0,1169100.0,326870.0,0.0,0.0,0,0,0,9156300,13776000,6253400,0,0,0,0,0,0,3,3,2,1,0,0,9,,,,317,14551;14664,True;True,16170;16291,81497;81498;81499;81500;81501;81502;82482;82483;82484,91223;91224;91225;91226;91227;91228;92758;92759;92760,91225;92758,,,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,2,tr|Q3U8S1|Q3U8S1_MOUSE,none,705990.0,1169100.0,0.0,1476600.0,326870.0,0.0,919640.0,22.0
